Scanning 11 equip archives...
Processing S3D:  gequip.s3d Skip Images:  true
[PFS] Directory count: 854 at offset 2455341
  [139] Entry: CRC=0x309fb3db, Offset=2129441, Size=2104
  [140] Entry: CRC=0x309fe83c, Offset=2398124, Size=5176
  [141] Entry: CRC=0x30ac25f9, Offset=2297983, Size=1248
  [142] Entry: CRC=0x31bb27ae, Offset=157986, Size=17462
  [143] Entry: CRC=0x320394d7, Offset=366058, Size=716
  [144] Entry: CRC=0x321ac519, Offset=638444, Size=5174
  [145] Entry: CRC=0x328e8b90, Offset=2062100, Size=2104
  [146] Entry: CRC=0x32ab2df0, Offset=679606, Size=4624
  [147] Entry: CRC=0x33183ed7, Offset=916755, Size=5174
  [148] Entry: CRC=0x334b36c3, Offset=606886, Size=5174
  [149] Entry: CRC=0x33592863, Offset=646647, Size=5174
  [150] Entry: CRC=0x33f7cbbd, Offset=2386631, Size=4756
  [151] Entry: CRC=0x344d768f, Offset=742402, Size=4336
  [152] Entry: CRC=0x3502d4a2, Offset=1706260, Size=5176
  [153] Entry: CRC=0x35176ac0, Offset=1333640, Size=892
  [154] Entry: CRC=0x351c8555, Offset=749902, Size=5174
  [155] Entry: CRC=0x352612fe, Offset=2423140, Size=5176
  [156] Entry: CRC=0x354f8d41, Offset=860989, Size=5174
  [157] Entry: CRC=0x355011aa, Offset=17690, Size=2104
  [158] Entry: CRC=0x355be36b, Offset=184659, Size=5174
  [159] Entry: CRC=0x35c7e4d1, Offset=2257362, Size=3126
  [160] Entry: CRC=0x3645212c, Offset=1931315, Size=1196
  [161] Entry: CRC=0x36b909f5, Offset=367690, Size=3128
  [162] Entry: CRC=0x3740f354, Offset=2172308, Size=900
  [163] Entry: CRC=0x377208b0, Offset=1297338, Size=5174
  [164] Entry: CRC=0x37a98489, Offset=198438, Size=1336
  [165] Entry: CRC=0x38708f13, Offset=1970070, Size=9272
  [166] Entry: CRC=0x39d27e55, Offset=2276861, Size=3128
  [167] Entry: CRC=0x3a069ae0, Offset=1986525, Size=4616
  [168] Entry: CRC=0x3a7afb3f, Offset=1317871, Size=3128
  [169] Entry: CRC=0x3a9134e2, Offset=842760, Size=5174
  [170] Entry: CRC=0x3aeb38c0, Offset=224332, Size=1590
  [171] Entry: CRC=0x3b7b87f9, Offset=366608, Size=1334
  [172] Entry: CRC=0x3b9c7eb2, Offset=92645, Size=4316
  [173] Entry: CRC=0x3bc0c738, Offset=859833, Size=5174
  [174] Entry: CRC=0x3c54b033, Offset=2088452, Size=17464
  [175] Entry: CRC=0x3c776f9d, Offset=789162, Size=5174
  [176] Entry: CRC=0x3c958f60, Offset=617740, Size=5174
  [177] Entry: CRC=0x3cee638f, Offset=1700340, Size=1092
  [178] Entry: CRC=0x3d269c47, Offset=795337, Size=5174
  [179] Entry: CRC=0x3d4eec51, Offset=553026, Size=3126
  [180] Entry: CRC=0x3d66b6d4, Offset=2379336, Size=436
  [181] Entry: CRC=0x3d85f7d9, Offset=2131271, Size=932
  [182] Entry: CRC=0x3dc47cba, Offset=598062, Size=5174
  [183] Entry: CRC=0x3e2ffe90, Offset=2064746, Size=1264
  [184] Entry: CRC=0x3e6add7c, Offset=2056860, Size=460
  [185] Entry: CRC=0x3ec0c373, Offset=1304179, Size=5174
  [186] Entry: CRC=0x3edc4823, Offset=48596, Size=8812
  [187] Entry: CRC=0x3ef0c0fa, Offset=2128215, Size=1288
  [188] Entry: CRC=0x3f447b30, Offset=2416822, Size=3128
  [189] Entry: CRC=0x3fd030c7, Offset=317938, Size=5176
  [190] Entry: CRC=0x3fd70b65, Offset=1925110, Size=5176
  [191] Entry: CRC=0x4191eb0c, Offset=1306544, Size=1140
  [192] Entry: CRC=0x41fead5c, Offset=2103506, Size=1324
  [193] Entry: CRC=0x422d5a2c, Offset=2290539, Size=1204
  [194] Entry: CRC=0x4294bdcd, Offset=756583, Size=5174
  [195] Entry: CRC=0x42c7b5d9, Offset=865066, Size=5174
  [196] Entry: CRC=0x42d3dbf3, Offset=177678, Size=5174
  [197] Entry: CRC=0x43c0b807, Offset=1938495, Size=5176
  [198] Entry: CRC=0x43c54e17, Offset=738835, Size=4408
  [199] Entry: CRC=0x44c30e5b, Offset=610250, Size=5174
  [200] Entry: CRC=0x44fc5221, Offset=280626, Size=1560
  [201] Entry: CRC=0x45031eea, Offset=2078851, Size=5176
